"Dsyl_CEN_selection_time" "Dsyl_CEN_selection_density" "Dsyl_TCF1_selection_time" "Dsyl_TCF1_selection_density" "Dcar_TCF1_selection_time" "Dcar_TCF1_selection_density" "Dcar_FT_selection_time" "Dcar_FT_selection_density"
1.04386287781031 0.699584802807178 0.933506454424684 0.868497002184202 0.529695310250654 0.853483574764732 0.577123606933335 0.915639785927706
1.04945077696599 0.69001090352164 0.94297758254661 0.860579411672061 0.538739875282826 0.845314706675921 0.591398619879924 0.912852805536837
1.05503867612166 0.680141194648564 0.952448710668536 0.852372759122961 0.547784440314997 0.836859608214417 0.605673632826512 0.909926550051164
1.06062657527734 0.669964902453182 0.961919838790462 0.843941143821982 0.556829005347169 0.828144746498703 0.619948645773102 0.906818939703302
1.06621447443302 0.659511720348118 0.971390966912388 0.835354451426982 0.56587357037934 0.819199137941418 0.63422365871969 0.903446236763603
1.07180237358869 0.648791456571696 0.980862095034314 0.826685641561153 0.574918135411512 0.810050512265467 0.648498671666279 0.899803450126342
1.07739027274437 0.637819325105587 0.99033322315624 0.818007771918582 0.583962700443683 0.800717445606754 0.662773684612867 0.895862268622597
1.08297817190004 0.62661583213531 0.999804351278167 0.809390835297822 0.593007265475854 0.791201289581899 0.677048697559457 0.891598716740756
1.08856607105572 0.615206350326398 1.00927547940009 0.800898495350992 0.602051830508026 0.781523264469264 0.691323710506045 0.886993844463632
1.0941539702114 0.603620373788292 1.01874660752202 0.792603004717792 0.611096395540197 0.771675786290859 0.705598723452634 0.882033632575354
1.09974186936707 0.591890464904581 1.02821773564395 0.784547861995365 0.620140960572368 0.761645111007726 0.719873736399222 0.876708745332522
1.10532976852275 0.580044180391073 1.03768886376587 0.776733797935333 0.62918552560454 0.751414192487169 0.734148749345811 0.871014148975358
1.11091766767843 0.568128829101695 1.0471599918878 0.76915620124482 0.638230090636711 0.74096589642723 0.7484237622924 0.864891807589393
1.1165055668341 0.556180163281686 1.05663112000972 0.761792064777306 0.647274655668883 0.730286277602761 0.762698775238989 0.858398925818521
1.12209346598978 0.544225203026713 1.06610224813165 0.754600917258869 0.656319220701054 0.719367642090568 0.776973788185577 0.851545201343589
1.12768136514545 0.532286535333705 1.07557337625358 0.747526646084021 0.665363785733225 0.708209353369979 0.791248801132166 0.844338073524592
1.13326926430113 0.520382072928213 1.0850445043755 0.740500156026239 0.674408350765397 0.696800602516768 0.805523814078755 0.836786307953986
1.13885716345681 0.508525195048483 1.09451563249743 0.733442785712224 0.683452915797568 0.685202668385008 0.819798827025344 0.828899815147015
1.14444506261248 0.496725236802837 1.10398676061935 0.726236173877387 0.692497480829739 0.673455700977021 0.834073839971932 0.820689569489375
1.15003296176816 0.484988276586846 1.11345788874128 0.718802653627063 0.701542045861911 0.661608232853096 0.84834885291852 0.812167622702345
1.15562086092383 0.473328446045374 1.12292901686321 0.711069035080836 0.710586610894083 0.649714801643559 0.86262386586511 0.803306380640299
1.16120876007951 0.461739687615823 1.13240014498513 0.702973702305367 0.719631175926254 0.637833286281517 0.876898878811698 0.794162678372379
1.16679665923519 0.450225387124082 1.14187127310706 0.694469581324867 0.728675740958425 0.626022122221101 0.891173891758287 0.784759277502954
1.17238455839086 0.438790541979779 1.15134240122898 0.68552597539112 0.737720305990597 0.61433754993912 0.905448904704875 0.775115225422783
1.17797245754654 0.427441814650348 1.16081352935091 0.676129464489197 0.746764871022768 0.602831039113345 0.919723917651464 0.765251154198804
1.18356035670222 0.416187585491673 1.17028465747284 0.666283851433196 0.755809436054939 0.591581304954314 0.933998930598053 0.755189086147622
1.18914825585789 0.405037793347506 1.17975578559476 0.655983167630452 0.764854001087111 0.580598295541408 0.948273943544642 0.744952135315127
1.19473615501357 0.394003602674421 1.18922691371669 0.645268078827558 0.773898566119282 0.569898583283557 0.96254895649123 0.734564107032271
1.20032405416924 0.383102570517677 1.19869804183862 0.634224567007081 0.782943131151454 0.559490291242629 0.976823969437819 0.724035639966816
1.20591195332492 0.372359351235421 1.20816916996054 0.62290701402281 0.791987696183625 0.549371095893865 0.991098982384408 0.713408844458561
1.2114998524806 0.361771287019481 1.21764029808247 0.611370982837454 0.801032261215796 0.539528964665693 1.005373995331 0.702707772303584
1.21708775163627 0.351348752798183 1.22711142620439 0.599670158925078 0.810076826247968 0.529943213260556 1.01964900827759 0.691950906877644
1.22267565079195 0.341100966260157 1.23658255432632 0.587853679500617 0.819121391280139 0.520585813279423 1.03392402122417 0.681153903506967
1.22826354994763 0.331035915523546 1.24605368244825 0.575963933290716 0.82816595631231 0.511422876520192 1.04819903417076 0.670329228103753
1.2338514491033 0.321160360650532 1.25552481057017 0.564034898988151 0.837210521344482 0.502427762616665 1.06247404711735 0.659485904109587
1.23943934825898 0.311479889156118 1.2649959386921 0.552091047617246 0.846255086376654 0.49353897588842 1.07674906006394 0.648629375695582
1.24502724741465 0.301999005472017 1.27446706681402 0.54014701004714 0.855299651408825 0.48471082897371 1.09102407301053 0.637759489292244
1.25061514657033 0.292738284562767 1.28393819493595 0.528202938086373 0.864344216440996 0.475903198520592 1.10529908595712 0.626873856494433
1.25620304572601 0.28369737764014 1.29340932305788 0.516251572715496 0.873388781473168 0.467078148630727 1.11957409890371 0.615966402223829
1.26179094488168 0.274864166730497 1.3028804511798 0.504280070023071 0.882433346505339 0.458200736147126 1.13384911185029 0.605028551990448
1.26737884403736 0.266239296750672 1.31235157930173 0.492271809614788 0.89147791153751 0.449239684591656 1.14812412479688 0.594050220125779
1.27296674319303 0.257822723617856 1.32182270742365 0.480208308874038 0.900522476569682 0.440167953445294 1.16239913774347 0.5830204365036
1.27855464234871 0.249613750215682 1.33129383554558 0.468071174242629 0.909567041601853 0.430963230453718 1.17667415069006 0.571927996861159
1.28414254150439 0.241611068913092 1.34076496366751 0.455838336107301 0.918611606634025 0.4215932638649 1.19094916363665 0.560762123618407
1.28973044066006 0.233812811270222 1.35023609178943 0.443492022232735 0.927656171666196 0.412053357526619 1.20522417658324 0.549501689483381
1.29531833981574 0.226216604064409 1.35970721991136 0.431038738240416 0.936700736698367 0.402348803267202 1.21949918952983 0.538145117618902
1.30090623897142 0.218844150511712 1.36917834803329 0.418483660029279 0.945745301730539 0.392484196763621 1.23377420247642 0.526692564318441
1.30649413812709 0.21167101504404 1.37864947615521 0.405839907245213 0.95478986676271 0.382470584004726 1.248049215423 0.515143866256998
1.31208203728277 0.20468882551659 1.38812060427714 0.393128569962918 0.963834431794881 0.372325283594126 1.26232422836959 0.503502228728913
1.31766993643844 0.197893465278215 1.39759173239906 0.380378375672477 0.972878996827053 0.362071482347334 1.27659924131618 0.491774308192689
1.32325783559412 0.191280450683969 1.40706286052099 0.367625015164872 0.981923561859225 0.351737590194703 1.29087425426277 0.479970182116047
1.3288457347498 0.184844901102728 1.41653398864292 0.354910152109972 0.990968126891396 0.341356352034597 1.30514926720936 0.468103207723418
